         0                              0          1
         1                           2186          3
         2                          78124          5
         3                         823542          7
         4                        4782968          9
         5                       19487170         11
         6                       62748516         13
         7                      170859374         15
         8                      410338672         17
         9                      893871738         19
        10                     1801088540         21
        11                     3404825446         23
        12                     6103515624         25
        13                    10460353202         27
        14                    17249876308         29
        15                    27512614110         31
        16                    42618442976         33
        17                    64339296874         35
        18                    94931877132         37
        19                   137231006678         39
        20                   194754273880         41
        21                   271818611106         43
        22                   373669453124         45
        23                   506623120462         47
        24                   678223072848         49
        25                   897410677850         51
        26                  1174711139836         53
        27                  1522435234374         55
        28                  1954897493192         57
        29                  2488651484818         59
        30                  3142742836020         61
        31                  3938980639166         63
        32                  4902227890624         65
        33                  6060711605322         67
        34                  7446353252588         69
        35                  9095120158390         71
        36                 11047398519096         73
        37                 13348388671874         75
        38                 16048523266852         77
        39                 19203908986158         79
        40                 22876792454960         81
        41                 27136050989626         83
        42                 32057708828124         85
        43                 37725479487782         87
        44                 44231334895528         89
        45                 51676101935730         91
        46                 60170087060756         93
        47                 69833729609374         95
        48                 80798284478112         97
        49                 93206534790698         99
        50                107213535210700        101
        51                122987386542486        103
        52                140710042265624        105
        53                160578147647842        107
        54                182803912081668        109
        55                207616015289870        111
        56                235260548044816        113
        57                266001988046874        115
        58                300124211606972        117
        59                337931541778438        119
        60                379749833583240        121
        61                425927596977746        123
        62                476837158203124        125
        63                532875860165502        127
        64                594467302491008        129
        65                662062621900810        131
        66                736141813551276        133
        67                817215093984374        135
        68                905824306333432        137
        69               1002544368429378        139
        70               1107984764452580        141
        71               1222791080775406        143
        72               1347646586640624        145
        73               1483273860320762        147
        74               1630436461403548        149
        75               1789940649848550        151
        76               1962637152460136        153
        77               2149422977421874        155
        78               2351243277537492        157
        79               2569093262823518        159
        80               2804020163098720        161
